               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10023,            0.069587,            0.080079,                   0,                   0,                   0,                   0,            0.097536,            0.066643,            0.079139,             0.00053,             0.00053,             0.09523
                   1,            0.097345,            0.068558,            0.078609,                   0,                   0,                   0,                   0,            0.097056,            0.066779,            0.077525,           0.0010698,           0.0010698,             0.09037
                   2,            0.097174,             0.06952,            0.077334,                   0,                   0,                   0,                   0,            0.097051,            0.066662,            0.076074,           0.0016086,           0.0016086,            0.085509
                   3,            0.097241,            0.070869,            0.076115,                   0,                   0,                   0,                   0,            0.097033,            0.066642,            0.074835,           0.0021457,           0.0021457,            0.080646
                   4,             0.09675,            0.070773,            0.074883,                   0,                   0,                   0,                   0,            0.096977,             0.06668,            0.073597,           0.0026805,           0.0026805,             0.07578
                   5,            0.097687,            0.068174,            0.073988,                   0,                   0,                   0,                   0,            0.097037,            0.066583,            0.072478,           0.0032121,           0.0032121,            0.070912
                   6,            0.096632,            0.066834,            0.072878,                   0,                   0,                   0,                   0,            0.097038,            0.066586,            0.071458,             0.00374,             0.00374,             0.06604
                   7,             0.09763,            0.072908,            0.071977,                   0,                   0,                   0,                   0,            0.096991,            0.066641,            0.070534,           0.0042633,           0.0042633,            0.061163
                   8,            0.097151,            0.069793,            0.071716,                   0,                   0,                   0,                   0,            0.097044,            0.066582,            0.069768,           0.0047814,           0.0047814,            0.056281
                   9,            0.096779,            0.068766,            0.070659,                   0,                   0,                   0,                   0,            0.096981,            0.066615,            0.069116,           0.0052937,           0.0052937,            0.051394
                  10,            0.097352,            0.067507,            0.070414,                   0,                   0,                   0,                   0,            0.096958,            0.066627,            0.068522,           0.0057994,           0.0057994,            0.046499
                  11,            0.096956,            0.067511,            0.070065,          2.4074e-05,           0.0048148,          1.5288e-05,          3.7612e-06,             0.09701,            0.066584,            0.067995,           0.0062979,           0.0062979,            0.041598
                  12,            0.097346,            0.069369,            0.069196,          2.5926e-05,           0.0051852,          1.6389e-05,          3.8713e-06,             0.09694,            0.066654,            0.067531,           0.0067885,           0.0067885,            0.036688
                  13,            0.097586,            0.071031,            0.069021,          2.5926e-05,           0.0051852,          1.6369e-05,          4.4248e-06,            0.096993,             0.06664,            0.067132,           0.0072706,           0.0072706,            0.031771
